id,name,created_at,advertisers_entities.id,entities.short_name,entities.is_active,entities.is_political,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
e5a8e610-22b0-4faa-a9b2-12af3c513a76,Rubina,2022-10-01T12:36:29.533Z,ba3c1b35-a907-40d6-b787-e157c906641a,Non,true,false,United States of America,us,1443446922405596,Rubina,Facebook
e5c5586b-ff6a-4746-ba30-84c85a5877d4,"Danville, IL Local - News Break",2022-11-26T22:14:11.455Z,7abc0dc2-f95c-4349-a3bc-dd93bba245fd,Non,true,false,United States of America,us,287205928307104,"Danville, IL Local - News Break",Facebook
e5ca798f-f808-4bb7-aaa9-2c42a0d831da,Covenant House International,2022-09-07T15:41:39.555Z,5e35de7d-677a-4c94-8c15-20b245fc1ca5,Non,true,false,United States of America,us,17911165812,Covenant House International,Facebook
e5cc3dd6-6563-422c-930a-64669ad037e3,Mountain States Legal Foundation,2022-09-06T20:04:59.047Z,177c599c-3c07-445f-aeb0-b8ff1d733c23,Non,true,false,United States of America,us,50822254585,Mountain States Legal Foundation,Facebook
e5dcb8fe-db36-4712-8215-2b7111d116ce,National Union of Healthcare Workers,2022-09-06T20:04:59.940Z,f1334f03-48ae-45b4-86a7-5ba3624d07b1,Non,true,false,United States of America,us,128938523881097,National Union of Healthcare Workers,Facebook
e5e065a6-464b-4703-819f-55466d51bf19,Arbor Day Foundation,2022-10-01T12:36:24.653Z,df0527b9-c2fb-46a3-a173-8f924d7340bc,Non,true,false,United States of America,us,6239388420,Arbor Day Foundation,Facebook
e5ec4563-54eb-4148-92da-2757d09ef17a,"Law Related Education Committee, The Florida Bar",2022-10-01T12:36:24.848Z,d8c88b3c-81bf-4c59-8ed9-dc7e9e0b514a,Non,true,false,United States of America,us,1694912514075678,"Law Related Education Committee, The Florida Bar",Facebook
e61b36c0-420c-431f-8835-97ed23073d64,Chicago Jazz Philharmonic,2022-11-26T22:14:06.898Z,85fe77a0-43bf-4e65-9221-4f9895f6b869,Non,true,false,United States of America,us,43466214187,Chicago Jazz Philharmonic,Facebook
e620f99c-5456-4321-84db-6c524cb6d6ad,Conservatives for a Clean Energy Future,2022-09-06T20:05:38.869Z,44c40cd4-3005-4dcd-bf0c-97b87ccae1ce,Non,true,false,United States of America,us,211901856263434,Conservatives for a Clean Energy Future,Facebook
e681ace0-54b6-417e-b311-14d0ad53dd59,blazedgoddess710,2022-09-07T15:41:59.270Z,8415213c-25ad-4bbc-824c-a1c48bc22567,Non,true,false,United States of America,us,100761619440779,blazedgoddess710,Facebook
e68e98e6-ea43-46b6-a5f9-027780e30b7b,Virginia Interfaith Center for Public Policy,2022-09-06T20:05:22.561Z,667974f2-2c22-4f86-a0c0-d3ea1ee9c308,Non,true,false,United States of America,us,99237926163,Virginia Interfaith Center for Public Policy,Facebook
e6afc88f-1863-4322-89d6-607703b3548b,Theodore Roosevelt Conservation Partnership,2022-09-05T10:11:18.297Z,d6ad0da8-4081-453a-9f20-f4bd1139f35d,Non,true,false,United States of America,us,24481937944,Theodore Roosevelt Conservation Partnership,Facebook
e6d199ce-ba14-41e3-9051-6f28a656bfed,T_0922b,2022-11-26T22:14:10.954Z,587d6d61-5335-4aed-b642-55c8195f167c,Non,true,false,United States of America,us,105646098977300,T_0922b,Facebook
e6f99430-a725-4ba1-9bb2-e7afb596ed4f,Edge Media Network,2022-11-26T22:14:03.790Z,51d73efd-0a14-43cc-842b-09b17fddb840,Non,true,false,United States of America,us,122805687735321,Edge Media Network,Facebook
e6ff5c99-593c-4e1a-bbac-2195b64e7e46,Biker Life Port Charlotte,2022-09-06T20:28:38.569Z,8b9826ef-f3f2-4e7a-be32-17235615754b,Non,true,false,United States of America,us,1987574887968061,Biker Life Port Charlotte,Facebook
e709f98c-f1d2-4858-b806-7e7445970ba8,Gigi Love,2022-11-26T22:14:08.951Z,ca99e691-3522-4371-a186-07e09464c107,Non,true,false,United States of America,us,185212501520997,Gigi Love,Facebook
e71edf36-c3de-473f-a4d8-f794ac2d540e,Richard Shenowski for BRSD Board of Education Parents Choice,2022-09-07T15:43:08.330Z,8aabd0e4-028d-4008-9917-f3ee23b51a02,Non,true,false,United States of America,us,102831109143546,Richard Shenowski for BRSD Board of Education Parents Choice,Facebook
